PID,PPID,ImageFileName,Offset(V),Threads
Progress:,0.00,Scanning,FileLayer,using
Progress:,23.33,Scanning,FileLayer,using
Progress:,100.00,Stacking,attempts,finished
Progress:,0.00,Scanning,layer_name,using
Progress:,0.00,Scanning,layer_name,using
Progress:,100.00,PDB,scanning,finished
3728,716,svchost.exe,0xbb0c8f2ed300,2
3808,716,svchost.exe,0xbb0c8f350240,11
3888,716,svchost.exe,0xbb0c8f370300,5
3076,716,sppsvc.exe,0xbb0c8f492080,4
8468,716,NisSrv.exe,0xbb0c8f4c4080,3
4104,716,svchost.exe,0xbb0c8f570300,7
4168,860,WmiPrvSE.exe,0xbb0c8f584280,15
4228,716,dllhost.exe,0xbb0c8f5eb080,10
4384,716,TrustedInstall,0xbb0c8f61b080,0
8324,716,svchost.exe,0xbb0c8f707240,7
2300,716,svchost.exe,0xbb0c8f7de240,21
5216,1492,sihost.exe,0xbb0c8f7f7280,10
5244,716,svchost.exe,0xbb0c904452c0,5
5292,716,svchost.exe,0xbb0c904612c0,4
5348,1320,MicrosoftEdgeU,0xbb0c90467300,4
5392,1320,taskhostw.exe,0xbb0c90481300,10
5444,716,svchost.exe,0xbb0c904aa240,8
5592,716,svchost.exe,0xbb0c90507280,3
5684,5592,ctfmon.exe,0xbb0c90516240,11
5788,672,userinit.exe,0xbb0c905b9340,0
5832,5788,explorer.exe,0xbb0c905bc340,55
5848,716,svchost.exe,0xbb0c905d6080,5
6108,716,svchost.exe,0xbb0c90669240,4
6656,716,SearchIndexer.,0xbb0c906fd080,16
5940,716,svchost.exe,0xbb0c907d0340,4
6756,1320,taskhostw.exe,0xbb0c90838080,3
6772,860,WmiPrvSE.exe,0xbb0c90845080,6
6804,860,SearchApp.exe,0xbb0c9084a080,38
6452,860,StartMenuExper,0xbb0c9095b080,7
2972,1320,taskhostw.exe,0xbb0c90a54080,6
7016,860,RuntimeBroker.,0xbb0c90ac02c0,5
7960,716,svchost.exe,0xbb0c90aed240,0
7220,6620,Microsoft.Shar,0xbb0c90aee080,0
3052,716,svchost.exe,0xbb0c90af1080,4
6240,860,SkypeBackgroun,0xbb0c90b6a080,4
8448,716,svchost.exe,0xbb0c90c1d080,2
6688,716,svchost.exe,0xbb0c90c372c0,3
6536,860,RuntimeBroker.,0xbb0c90c5b080,3
7004,2684,msedge.exe,0xbb0c90c81080,9
8772,716,svchost.exe,0xbb0c90c9e280,8
7664,860,RuntimeBroker.,0xbb0c90ca32c0,4
8596,2684,msedge.exe,0xbb0c90ca6080,10
9064,716,svchost.exe,0xbb0c90cb7300,5
8112,860,smartscreen.ex,0xbb0c90cba2c0,8
8032,2684,msedge.exe,0xbb0c90cc80c0,21
8552,2220,audiodg.exe,0xbb0c90d0e080,4
6412,860,SkypeApp.exe,0xbb0c90db0080,14
8168,5832,SecurityHealth,0xbb0c90dbc0c0,1
9188,716,svchost.exe,0xbb0c90dbd080,3
6028,716,SgrmBroker.exe,0xbb0c90dc1080,6
2924,716,SecurityHealth,0xbb0c90e1d080,68
6620,5832,OneDrive.exe,0xbb0c90e212c0,23
3828,5832,vmtoolsd.exe,0xbb0c93053080,4
2284,860,RuntimeBroker.,0xbb0c930622c0,1
2684,5832,msedge.exe,0xbb0c931f3080,62
5184,860,dllhost.exe,0xbb0c933a1080,7
5384,860,RuntimeBroker.,0xbb0c9342e080,0
5704,716,svchost.exe,0xbb0c937850c0,10
8044,860,ApplicationFra,0xbb0c9378c300,3
1080,860,WinStore.App.e,0xbb0c9378f080,11
7276,716,WUDFHost.exe,0xbb0c93c7c300,8
7848,716,svchost.exe,0xbb0c93c82080,1
3680,2684,msedge.exe,0xbb0c93cdc080,10
9096,716,svchost.exe,0xbb0c93cec300,9
8024,2684,msedge.exe,0xbb0c93d28080,21
840,4520,MpCmdRun.exe,0xbb0c94270080,0
5540,860,SecurityHealth,0xbb0c94282080,0
5956,860,UserOOBEBroker,0xbb0c9428b080,2
4892,716,svchost.exe,0xbb0c942a0080,0
8712,2684,msedge.exe,0xbb0c942b9080,20
6332,5832,procexp64.exe,0xbb0c942ba080,5
4424,2684,msedge.exe,0xbb0c942bc0c0,8
2620,860,ShellExperienc,0xbb0c942dc080,14
8416,2684,msedge.exe,0xbb0c942fa080,20
3428,860,RuntimeBroker.,0xbb0c942fb2c0,7
5232,860,TextInputHost.,0xbb0c9475a080,10
2456,716,svchost.exe,0xbb0c94783080,19
2036,716,MsMpEng.exe,0xbb0c947890c0,38
3356,2684,msedge.exe,0xbb0c948020c0,8
3884,860,TiWorker.exe,0xbb0c948c2080,5
2128,716,svchost.exe,0xbb0c948c3080,2
3088,2684,msedge.exe,0xbb0c948df080,18
5096,716,svchost.exe,0xbb0c948e6080,2
6056,860,RuntimeBroker.,0xbb0c94ad4080,7
1548,5832,FTK,Imager.exe,0xbb0c94adb080
4580,716,svchost.exe,0xbb0c94c4c340,1
7692,716,svchost.exe,0xbb0c94c5e340,3
6656,716,SearchIndexer.,0xde8e2a102080,16
